Surname,Location
Babij/Babiy/Бабій,Mołotków, Babcze
Basiuga/Басюга,Mołotków
Bilchak/Більчак,Mołotków, Babcze
Demydiuk/Dymydiuk,Mołotków
Fedorak/Федорак,Mołotków
Jurczylo/Юрчило,Mołotków, Pniow
Kislak/Кисляк,Mołotków
Liundiak/Liundyak/Люндяк,Kalush, Ivano-Frankivsk
LUNDIAK/LUNDYAK/Лундяк,Mołotków, Markowa; Novica, Broumov
Lundziak,Poland
Myketiuk/Mykytiuk/Микитюк,Mołotków
Pankow/Паньків,Mołotków, Pniow
Polowko/Половко,Mołotków, Hwozd
Skrypnyk,Mołotków, Babcze
Solomon,Mołotków
Wowoczuk/Вовчук,Mołotków
